strain	n	mean_lambda	se_lambda	mean_doubling_time	se_doubling_time
rpoS	5	35.56073461946406	2.0276845516388695	53.0744034187761	0.9056095297139825
wild-type	5	33.35463966442236	2.080552217260573	59.3285448724475	0.5678203889604136
