strain	n	mean_lambda	se_lambda	mean_doubling_time	se_doubling_time
rpoS	5	127.01535140441256	17.199820657257927	296.5150734112235	13.801031013275594
wild-type	5	164.58851132518942	23.836234602540948	241.70739418726987	19.690764899823257
