strain	n	mean_K	se_K	mean_doubling_time	se_doubling_time
rpoS	5	6.008659943301303	0.07932131238804188	31.139622524769745	0.47550322413839136
wild-type	5	6.235520240782874	0.06644377799092083	30.922837162940965	0.519376626716914
