bNum,geneName,replicate,genotype,time,intensity,batch
b0020,nhaR,D,wt,180,298.6380904437211,long
b0020,nhaR,D,wt,240,250.54564973721844,long
b0020,nhaR,D,wt,300,255.0219818031482,long
b0020,nhaR,E,wt,0,154.67472797331462,short
b0020,nhaR,E,wt,30,167.7503823291686,short
b0020,nhaR,E,wt,60,187.86954058690873,short
b0020,nhaR,E,wt,90,237.81643295432048,short
b0020,nhaR,E,wt,120,180.00331442078243,short
b0020,nhaR,E,wt,150,209.6844379840542,short
b0020,nhaR,F,wt,0,161.7824052238586,short
b0020,nhaR,F,wt,30,181.37370204819388,short
b0020,nhaR,F,wt,60,192.4222097142111,short
b0020,nhaR,F,wt,90,71.87782312149078,short
b0020,nhaR,F,wt,120,229.86728322445055,short
b0020,nhaR,F,wt,150,424.5844048152059,short
b0020,nhaR,G,wt,0,138.13155682076368,short
b0020,nhaR,G,wt,30,165.49683068114234,short
b0020,nhaR,G,wt,60,215.32337969045778,short
b0020,nhaR,G,wt,90,173.85036370793227,short
b0020,nhaR,G,wt,120,207.34115143312238,short
b0020,nhaR,G,wt,150,246.41291205953704,short
b0029,ispH,A,wt,0,144.03142774535843,long
b0029,ispH,A,wt,90,90.59455116422221,long
b0029,ispH,A,wt,120,141.19305533140127,long
b0029,ispH,A,wt,180,98.14456156865825,long
b0029,ispH,A,wt,240,74.72820367088781,long
b0029,ispH,A,wt,300,98.34923627483113,long
b0029,ispH,B,wt,0,161.65049969962865,long
b0029,ispH,B,wt,90,77.1488987954237,long
b0029,ispH,B,wt,120,99.30857034191688,long
b0029,ispH,B,wt,180,111.79844577310953,long
b0029,ispH,B,wt,240,116.40859572460839,long
b0029,ispH,B,wt,300,89.46105649950866,long
b0029,ispH,C,wt,0,136.79660106182703,long
b0029,ispH,C,wt,90,110.49545046969625,long
b0029,ispH,C,wt,120,110.16752232540358,long
b0029,ispH,C,wt,180,99.4392015019116,long
b0029,ispH,C,wt,240,117.30865901551232,long
b0029,ispH,C,wt,300,75.8828291919732,long
b0029,ispH,D,wt,0,122.92330995214976,long
b0029,ispH,D,wt,90,74.25535018929747,long
b0029,ispH,D,wt,120,86.12536330826467,long
b0029,ispH,D,wt,180,99.53421373860378,long
b0029,ispH,D,wt,240,87.95998152107805,long
b0029,ispH,D,wt,300,101.25910644330466,long
b0029,ispH,E,wt,0,188.9756513736068,short
b0029,ispH,E,wt,30,171.85719375516612,short
b0029,ispH,E,wt,60,68.20443456056934,short
b0029,ispH,E,wt,90,76.04588179581626,short
b0029,ispH,E,wt,120,93.72693883664185,short
b0029,ispH,E,wt,150,87.5343107649331,short
b0029,ispH,F,wt,0,264.0632128889514,short
b0029,ispH,F,wt,30,162.5368793238393,short
b0029,ispH,F,wt,60,123.05720654736173,short
b0029,ispH,F,wt,90,48.00598565813096,short
b0029,ispH,F,wt,120,220.25931680712,short
b0029,ispH,F,wt,150,90.53626311874272,short
b0029,ispH,G,wt,0,205.0313856045154,short
b0029,ispH,G,wt,30,181.52517517164728,short
b0029,ispH,G,wt,60,72.567294399,short
b0029,ispH,G,wt,90,109.3436867059061,short
b0029,ispH,G,wt,120,91.76101759890366,short
b0029,ispH,G,wt,150,107.64230986810762,short
b0046,kefF,A,wt,0,26.024827759444833,long
b0046,kefF,A,wt,90,32.27297215283033,long
b0046,kefF,A,wt,120,41.9327284304227,long
b0046,kefF,A,wt,180,53.585766855402696,long
b0046,kefF,A,wt,240,46.09221503524857,long
b0046,kefF,A,wt,300,41.34437495385051,long
b0046,kefF,B,wt,0,16.71082380188454,long
b0046,kefF,B,wt,90,35.41755307758084,long
b0046,kefF,B,wt,120,17.458090641146075,long
b0046,kefF,B,wt,180,31.31708540910198,long
b0046,kefF,B,wt,240,41.52496978719699,long
b0046,kefF,B,wt,300,26.240339282173736,long
b0046,kefF,C,wt,0,19.557506220023193,long
b0046,kefF,C,wt,90,22.092745749081583,long
b0046,kefF,C,wt,120,30.40687102440148,long
b0046,kefF,C,wt,180,48.09058896453339,long
b0046,kefF,C,wt,240,46.094911313266294,long
b0046,kefF,C,wt,300,33.408973311981846,long
b0046,kefF,D,wt,0,24.571390021221077,long
b0046,kefF,D,wt,90,34.79137169928581,long
b0046,kefF,D,wt,120,38.701965522061954,long
b0046,kefF,D,wt,180,46.49455806608153,long
b0046,kefF,D,wt,240,35.2087570895477,long
b0046,kefF,D,wt,300,49.10744380845367,long
b0046,kefF,E,wt,0,16.80963997943161,short
b0046,kefF,E,wt,30,26.84691850906501,short
b0046,kefF,E,wt,60,13.763491408947022,short
b0046,kefF,E,wt,90,57.79514361946235,short
b0046,kefF,E,wt,120,22.632902799346763,short
b0046,kefF,E,wt,150,48.09063516561711,short
b0046,kefF,F,wt,0,14.645511063760049,short
b0046,kefF,F,wt,30,22.77181326214862,short
b0046,kefF,F,wt,60,19.847892907536675,short
b0046,kefF,F,wt,90,7.489055878491222,short
b0046,kefF,F,wt,120,27.570913032302528,short
b0046,kefF,F,wt,150,24.297771588469182,short
b0046,kefF,G,wt,0,30.139795349486963,short
b0046,kefF,G,wt,30,22.35253373773587,short
b0046,kefF,G,wt,60,28.14945804101859,short
b0046,kefF,G,wt,90,33.92012772436897,short
b0046,kefF,G,wt,120,20.517112556818564,short
b0046,kefF,G,wt,150,50.79889245158627,short
b0047,kefC,A,wt,0,21.504703086933283,long
b0047,kefC,A,wt,90,29.469750315080717,long
b0047,kefC,A,wt,120,41.348128848449136,long
b0047,kefC,A,wt,180,48.010846519439674,long
