bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold
b0065,yabI,GeneID:944783,0.08299062748339611,0.01590052578777815,0.8813009711794262,FALSE,FALSE,FALSE
b0066,thiQ,GeneID:944785,0.06215153216646065,0.8595461484963782,1,FALSE,FALSE,FALSE
b0067,thiP,GeneID:944784,0.8961506114892905,0.2176153513401842,1,FALSE,FALSE,FALSE
b0068,thiB,GeneID:946306,0.5832729987513616,0.2827143696810628,1,FALSE,FALSE,FALSE
b0069,sgrR,GeneID:944788,0.8056756273050184,0.054738552837725066,1,FALSE,FALSE,FALSE
b0070,setA,GeneID:944793,4.7348905282010747e-5,0.5671916934076001,1,TRUE,FALSE,FALSE
b0071,leuD,GeneID:945642,0.39279628149790663,0.2592510541044903,1,FALSE,FALSE,FALSE
b0072,leuC,GeneID:945076,0.8775867352008349,0.18266285702962268,0.029698170277806843,FALSE,FALSE,FALSE
b0073,leuB,GeneID:944798,0.6453759586923221,0.043006368426853084,0.7457033225020963,FALSE,FALSE,FALSE
b0074,leuA,GeneID:947465,0.22906401208674323,0.41456535940341627,0.9181307699405593,FALSE,FALSE,FALSE
b0075,leuL,GeneID:946072,0.0715632477830323,0.6153857592449372,0.7678753759787432,FALSE,FALSE,FALSE
b0076,leuO,GeneID:949034,0.12890241113952694,0.0031774435946123527,1,FALSE,TRUE,FALSE
b0077,ilvI,GeneID:948793,6.450125843671614e-4,0.19824871710308384,0.9945300943798128,TRUE,FALSE,FALSE
b0078,ilvH,GeneID:947267,0.019977329478350056,0.9797275134682005,0.8360822020208436,FALSE,FALSE,FALSE
b0080,cra,GeneID:944804,1.5606468550002925e-19,1.529286118738837e-5,0.8448070997203788,TRUE,TRUE,FALSE
b0081,mraZ,GeneID:944810,1.3128961493561982e-4,0.8565597579888339,0.9143042483503735,TRUE,FALSE,FALSE
b0082,rsmH,GeneID:944806,4.0705325023544613e-4,0.617065294568342,1,TRUE,FALSE,FALSE
b0083,ftsL,GeneID:944803,0.021352126293893034,0.840111445559435,0.5776414830626461,FALSE,FALSE,FALSE
b0084,ftsI,GeneID:944799,1.2615990898774377e-11,0.5636255692804283,0.8149455329999385,TRUE,FALSE,FALSE
b0085,murE,GeneID:944791,1.5447598271956683e-9,0.12442036634373893,0.8664098650420876,TRUE,FALSE,FALSE
b0086,murF,GeneID:944813,1.3992360459984014e-8,0.722244212402139,0.1680843140198959,TRUE,FALSE,FALSE
b0087,mraY,GeneID:944814,4.601795502397654e-13,0.25012854905466075,0.9098748321163602,TRUE,FALSE,FALSE
b0088,murD,GeneID:944818,7.650784633610672e-8,0.1699153412621579,0.23651586648822953,TRUE,FALSE,FALSE
b0089,ftsW,GeneID:946322,2.7726749138857944e-13,0.22594293545207902,0.947476037648165,TRUE,FALSE,FALSE
b0090,murG,GeneID:946321,8.79047611827774e-9,0.5099614767246186,0.07785379923600333,TRUE,FALSE,FALSE
b0091,murC,GeneID:946153,2.658623482716578e-6,0.7998009301725849,0.0467160220916846,TRUE,FALSE,FALSE
b0092,ddlB,GeneID:946324,7.007555000930006e-4,0.9181754807013768,0.10614710214204237,TRUE,FALSE,FALSE
b0093,ftsQ,GeneID:944823,0.11882394032201848,0.9249283875955179,0.387771765980686,FALSE,FALSE,FALSE
b0094,ftsA,GeneID:944778,0.11446759427544186,0.59167689256233,1,FALSE,FALSE,FALSE
b0095,ftsZ,GeneID:944786,4.434478011639046e-4,0.8039496735998911,0.9803868660693672,TRUE,FALSE,FALSE
b0096,lpxC,GeneID:944816,7.51051933951131e-8,1.0269757285399557e-4,0.48310090833867825,TRUE,TRUE,FALSE
b0097,secM,GeneID:944831,2.0039993517915046e-10,0.39322303277869203,1,TRUE,FALSE,FALSE
b0098,secA,GeneID:944821,2.2845858879847426e-11,0.6026730352877185,1,TRUE,FALSE,FALSE
b0099,mutT,GeneID:944824,0.4119187712084165,0.8351982955089027,1,FALSE,FALSE,FALSE
b0101,yacG,GeneID:945630,0.04378810228983688,0.46918843369265173,0.9271385817615674,FALSE,FALSE,FALSE
b0102,zapD,GeneID:944873,0.9999983765053103,0.7532294137726107,1,FALSE,FALSE,FALSE
b0103,coaE,GeneID:949060,0.42555284387523,0.6819008342197674,0.35132213282689184,FALSE,FALSE,FALSE
b0104,guaC,GeneID:948986,0.42522960584245606,0.40618649129813894,1,FALSE,FALSE,FALSE
b0106,hofC,GeneID:945806,0.07865106385574161,NA,1,FALSE,NA,FALSE
b0107,hofB,GeneID:947481,0.16328360400082761,0.445719576615891,1,FALSE,FALSE,FALSE
b0109,nadC,GeneID:948869,4.0189389445703764e-7,0.08626908717931889,1,TRUE,FALSE,FALSE
b0110,ampD,GeneID:948877,1.3876522656775292e-12,0.6760563766984652,0.6760529931588748,TRUE,FALSE,FALSE
b0111,ampE,GeneID:946678,0.24648837529199655,0.12526848235436558,0.6183074720460829,FALSE,FALSE,FALSE
b0112,aroP,GeneID:946018,0.27299583078273326,0.3594004751094931,1,FALSE,FALSE,FALSE
b0113,pdhR,GeneID:944827,0.377342671118417,0.23875616905526575,0.9143042483503735,FALSE,FALSE,FALSE
b0114,aceE,GeneID:944834,0.33656409948593186,0.005394578852271347,0.7870002380668715,FALSE,TRUE,FALSE
b0115,aceF,GeneID:944794,0.3717793556375006,0.01573267082590907,0.603566218707533,FALSE,FALSE,FALSE
b0116,lpd,GeneID:944854,2.6820229419360666e-15,0.03595729389174229,0.0012092634866276868,TRUE,FALSE,TRUE
b0117,yacH,GeneID:944868,0.007554372691897517,0.05949398761761705,1.9617921078355438e-5,TRUE,FALSE,TRUE
b0118,acnB,GeneID:944864,3.7369450066199256e-26,0.019527690925723658,1.6546430818708223e-5,TRUE,FALSE,TRUE
b0119,yacL,GeneID:944809,5.202618329129465e-7,0.17951092031079016,1,TRUE,FALSE,FALSE
b0120,speD,GeneID:947719,0.8959951728020354,0.8092569583221759,1,FALSE,FALSE,FALSE
b0121,speE,GeneID:947726,0.4555429405213421,0.6552248608138798,1,FALSE,FALSE,FALSE
b0122,yacC,GeneID:948472,0.017375678693190184,0.00561749136892811,1,FALSE,TRUE,FALSE
b0123,cueO,GeneID:947736,0.16448296972674617,0.105288615935482,0.27969289755788096,FALSE,FALSE,FALSE
b0124,gcd,GeneID:944830,2.2452260054314738e-14,4.389787028710444e-12,0.09014800154093697,TRUE,TRUE,FALSE
b0125,hpt,GeneID:946624,0.25815777585769256,0.8594667550010021,0.9803868660693672,FALSE,FALSE,FALSE
b0126,can,GeneID:944832,0.8282730043770704,0.03321381339222561,0.2507194640457145,FALSE,FALSE,FALSE
b0127,yadG,GeneID:944833,0.114861348582953,0.15973616770641655,1,FALSE,FALSE,FALSE
b0128,yadH,GeneID:944836,0.30748388173737695,0.4587550278895052,1,FALSE,FALSE,FALSE
b0129,yadI,GeneID:947397,2.658623482716578e-6,0.5510856645965636,0.9592007071990792,TRUE,FALSE,FALSE
b0130,yadE,GeneID:946536,0.370317247697728,0.13526966045576674,0.955121503856506,FALSE,FALSE,FALSE
