bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold,onset_sp,onset_osmo,onset_cold
b0953,rmf,GeneID:945567,0.9032657294585336,0.2171916793150948,0.8860587566155214,FALSE,FALSE,FALSE,NA,NA,NA
b0954,fabA,GeneID:945568,0.00213184400399169,0.00117294989208602,1,TRUE,TRUE,FALSE,NA,NA,NA
b0955,ycbZ,GeneID:945569,0.33657821859145265,0.5376891391343969,1,FALSE,FALSE,FALSE,NA,NA,NA
b0956,matP,GeneID:945570,0.0063784304700285404,0.0255988175083271,1,TRUE,FALSE,FALSE,NA,NA,NA
b0957,ompA,GeneID:945571,0.07609385913649173,0.7984831791145297,1,FALSE,FALSE,FALSE,NA,NA,NA
b0958,sulA,GeneID:947335,0.06184658767673397,6.553853004115453e-5,1,FALSE,TRUE,FALSE,NA,23.84785,NA
b0959,sxy,GeneID:946504,0.13244126705167492,0.237559341605136,0.4273486265919314,FALSE,FALSE,FALSE,NA,NA,NA
b0960,yccS,GeneID:947001,0.7680941008998314,0.7267226130898369,1,FALSE,FALSE,FALSE,NA,NA,NA
b0961,yccF,GeneID:945594,0.4631857925775321,0.8657357499976647,1,FALSE,FALSE,FALSE,NA,NA,NA
b0962,helD,GeneID:946227,0.9881744534657798,0.19387042715720923,1,FALSE,FALSE,FALSE,NA,NA,NA
b0963,mgsA,GeneID:945574,4.5185923306692947e-7,0.02953511969604987,1,TRUE,FALSE,FALSE,NA,NA,NA
b0964,yccT,GeneID:945577,2.8268837671748496e-8,NA,1.2913749275499573e-11,TRUE,NA,TRUE,102.9664,NA,NA
b0965,yccU,GeneID:949008,1.7769720855829268e-5,0.02958129930809413,0.5442436079999918,TRUE,FALSE,FALSE,NA,NA,NA
b0966,hspQ,GeneID:945578,2.032124953334968e-5,0.07020989066054568,0.8972153022869453,TRUE,FALSE,FALSE,222.1105,NA,NA
b0967,rlmI,GeneID:946691,0.49875959418973215,0.06665234467663875,1,FALSE,FALSE,FALSE,NA,NA,NA
b0968,yccX,GeneID:945304,4.016295772894673e-4,0.12854473915117176,0.10003634145266802,TRUE,FALSE,FALSE,NA,NA,NA
b0969,tusE,GeneID:945023,0.11652465369864468,0.6585456497878022,1,FALSE,FALSE,FALSE,NA,NA,NA
b0970,yccA,GeneID:946016,2.7394576574610097e-13,0.00398017041700185,0.3103828228863741,TRUE,TRUE,FALSE,NA,NA,NA
b0971,serT,GeneID:944826,0.6712135660220551,0.5940859003458082,1,FALSE,FALSE,FALSE,NA,NA,NA
b0972,hyaA,GeneID:945579,0.09749190445514828,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0973,hyaB,GeneID:945580,0.17269959623214157,NA,0.8492937075327237,FALSE,NA,FALSE,NA,NA,NA
b0974,hyaC,GeneID:945581,0.04267974917553683,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0975,hyaD,GeneID:945575,0.10037856134855888,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0976,hyaE,GeneID:945573,0.1038055523925249,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0977,hyaF,GeneID:945572,0.08880958953135629,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0978,appC,GeneID:945585,3.186642084055586e-4,0.9618421411316328,0.2910826057851939,TRUE,FALSE,FALSE,220.4319,NA,NA
b0979,appB,GeneID:947547,2.2285765513122798e-10,0.933378211631204,1,TRUE,FALSE,FALSE,216.9074,NA,NA
b0980,appA,GeneID:946206,7.2812036634913165e-6,0.5000528581284851,0.4147181927910936,TRUE,FALSE,FALSE,227.7259,NA,NA
b0981,etk,GeneID:947409,8.090410396012272e-10,0.8921415960526683,3.0267683243316374e-9,TRUE,FALSE,TRUE,285.3055,NA,NA
